CPT_CODE|CPT_LONG_DESCRIPTION|CPT_LONG_DESCRIPTION
78586|PULMONARY VENTILATION IMAGING, AEROSOL; SINGLE PROJECTION|PULMONARY VENTILATION IMAGING, AEROSOL; SINGLE PROJECTION
78587|PULMONARY VENTILATION IMAGING, AEROSOL; MULTIPLE PROJECTIONS (EG, ANTERIOR, POSTERIOR, LATERAL VIEWS)|PULMONARY VENTILATION IMAGING, AEROSOL; MULTIPLE PROJECTIONS (EG, ANTERIOR, POSTERIOR, LATERAL VIEWS)
78588|PULMONARY PERFUSION IMAGING, PARTICULATE, WITH VENTILATION IMAGING, AEROSOL, ONE OR MULTIPLE PROJECTIONS|PULMONARY PERFUSION IMAGING, PARTICULATE, WITH VENTILATION IMAGING, AEROSOL, ONE OR MULTIPLE PROJECTIONS
78591|PULMONARY VENTILATION IMAGING, GASEOUS, SINGLE BREATH, SINGLE PROJECTION|PULMONARY VENTILATION IMAGING, GASEOUS, SINGLE BREATH, SINGLE PROJECTION
78593|PULMONARY VENTILATION IMAGING, GASEOUS, WITH REBREATHING AND WASHOUT WITH OR WITHOUT SINGLE BREATH; SINGLE PROJECTION|PULMONARY VENTILATION IMAGING, GASEOUS, WITH REBREATHING AND WASHOUT WITH OR WITHOUT SINGLE BREATH; SINGLE PROJECTION
78594|PULMONARY VENTILATION IMAGING, GASEOUS, WITH REBREATHING AND WASHOUT WITH OR WITHOUT SINGLE BREATH; MULTIPLE PROJECTIONS (EG, ANTERIOR, POSTERI|PULMONARY VENTILATION IMAGING, GASEOUS, WITH REBREATHING AND WASHOUT WITH OR WITHOUT SINGLE BREATH; MULTIPLE PROJECTIONS (EG, ANTERIOR, POSTERI
78596|PULMONARY QUANTITATIVE DIFFERENTIAL FUNCTION (VENTILATION/PERFUSION) STUDY|PULMONARY QUANTITATIVE DIFFERENTIAL FUNCTION (VENTILATION/PERFUSION) STUDY
78599|UNLISTED RESPIRATORY PROCEDURE, DIAGNOSTIC NUCLEAR MEDICINE|UNLISTED RESPIRATORY PROCEDURE, DIAGNOSTIC NUCLEAR MEDICINE
78600|BRAIN IMAGING, LIMITED PROCEDURE; STATIC|BRAIN IMAGING, LIMITED PROCEDURE; STATIC
78601|BRAIN IMAGING, LIMITED PROCEDURE; WITH VASCULAR FLOW|BRAIN IMAGING, LIMITED PROCEDURE; WITH VASCULAR FLOW
78605|BRAIN IMAGING, COMPLETE STUDY; STATIC|BRAIN IMAGING, COMPLETE STUDY; STATIC
78606|BRAIN IMAGING, COMPLETE STUDY; WITH VASCULAR FLOW|BRAIN IMAGING, COMPLETE STUDY; WITH VASCULAR FLOW
78607|BRAIN IMAGING, COMPLETE STUDY; TOMOGRAPHIC (SPECT)|BRAIN IMAGING, COMPLETE STUDY; TOMOGRAPHIC (SPECT)
78608|BRAIN IMAGING, POSITRON EMISSION TOMOGRAPHY (PET); METABOLIC EVALUATION|BRAIN IMAGING, POSITRON EMISSION TOMOGRAPHY (PET); METABOLIC EVALUATION
78609|BRAIN IMAGING, POSITRON EMISSION TOMOGRAPHY (PET); PERFUSION EVALUATION|BRAIN IMAGING, POSITRON EMISSION TOMOGRAPHY (PET); PERFUSION EVALUATION
78610|BRAIN IMAGING, VASCULAR FLOW ONLY|BRAIN IMAGING, VASCULAR FLOW ONLY
78615|CEREBRAL VASCULAR FLOW|CEREBRAL VASCULAR FLOW
78630|CEREBROSPINAL FLUID FLOW, IMAGING (NOT INCLUDING INTRODUCTION OF MATERIAL); CISTERNOGRAPHY|CEREBROSPINAL FLUID FLOW, IMAGING (NOT INCLUDING INTRODUCTION OF MATERIAL); CISTERNOGRAPHY
78635|CEREBROSPINAL FLUID FLOW, IMAGING (NOT INCLUDING INTRODUCTION OF MATERIAL); VENTRICULOGRAPHY|CEREBROSPINAL FLUID FLOW, IMAGING (NOT INCLUDING INTRODUCTION OF MATERIAL); VENTRICULOGRAPHY
78645|CEREBROSPINAL FLUID FLOW, IMAGING (NOT INCLUDING INTRODUCTION OF MATERIAL); SHUNT EVALUATION|CEREBROSPINAL FLUID FLOW, IMAGING (NOT INCLUDING INTRODUCTION OF MATERIAL); SHUNT EVALUATION
78647|CEREBROSPINAL FLUID FLOW, IMAGING (NOT INCLUDING INTRODUCTION OF MATERIAL); TOMOGRAPHIC (SPECT)|CEREBROSPINAL FLUID FLOW, IMAGING (NOT INCLUDING INTRODUCTION OF MATERIAL); TOMOGRAPHIC (SPECT)
78650|CEREBROSPINAL FLUID LEAKAGE DETECTION AND LOCALIZATION|CEREBROSPINAL FLUID LEAKAGE DETECTION AND LOCALIZATION
78660|RADIOPHARMACEUTICAL DACRYOCYSTOGRAPHY|RADIOPHARMACEUTICAL DACRYOCYSTOGRAPHY
78699|UNLISTED NERVOUS SYSTEM PROCEDURE, DIAGNOSTIC NUCLEAR MEDICINE|UNLISTED NERVOUS SYSTEM PROCEDURE, DIAGNOSTIC NUCLEAR MEDICINE
78700|KIDNEY IMAGING; STATIC ONLY|KIDNEY IMAGING; STATIC ONLY
78701|KIDNEY IMAGING; WITH VASCULAR FLOW|KIDNEY IMAGING; WITH VASCULAR FLOW
78704|KIDNEY IMAGING; WITH FUNCTION STUDY (IE, IMAGING RENOGRAM)|KIDNEY IMAGING; WITH FUNCTION STUDY (IE, IMAGING RENOGRAM)
78707|KIDNEY IMAGING; WITH VASCULAR FLOW AND FUNCTION STUDY|KIDNEY IMAGING; WITH VASCULAR FLOW AND FUNCTION STUDY
78708|KIDNEY IMAGING WITH VASCULAR FLOW AND FUNCTION; SINGLE STUDY WITH PHARMACOLOGICAL INTERVENTION (EG, ANGIOTENSIN CONVERTING ENZYME INHIBITOR AND|KIDNEY IMAGING WITH VASCULAR FLOW AND FUNCTION; SINGLE STUDY WITH PHARMACOLOGICAL INTERVENTION (EG, ANGIOTENSIN CONVERTING ENZYME INHIBITOR AND
78709|KIDNEY IMAGING WITH VASCULAR FLOW AND FUNCTION; MULTIPLE STUDIES, WITH AND WITHOUT PHARMACOLOGICAL INTERVENTION (EG, ANGIOTENSIN CONVERTING ENZ|KIDNEY IMAGING WITH VASCULAR FLOW AND FUNCTION; MULTIPLE STUDIES, WITH AND WITHOUT PHARMACOLOGICAL INTERVENTION (EG, ANGIOTENSIN CONVERTING ENZ
78710|KIDNEY IMAGING; TOMOGRAPHIC (SPECT)|KIDNEY IMAGING; TOMOGRAPHIC (SPECT)
78715|KIDNEY VASCULAR FLOW ONLY|KIDNEY VASCULAR FLOW ONLY
78725|KIDNEY FUNCTION STUDY, NON-IMAGING RADIOISOTOPIC STUDY|KIDNEY FUNCTION STUDY, NON-IMAGING RADIOISOTOPIC STUDY
78730|URINARY BLADDER RESIDUAL STUDY|URINARY BLADDER RESIDUAL STUDY
78740|URETERAL REFLUX STUDY (RADIOPHARMACEUTICAL VOIDING CYSTOGRAM)|URETERAL REFLUX STUDY (RADIOPHARMACEUTICAL VOIDING CYSTOGRAM)
78760|TESTICULAR IMAGING;|TESTICULAR IMAGING;
78761|TESTICULAR IMAGING; WITH VASCULAR FLOW|TESTICULAR IMAGING; WITH VASCULAR FLOW
78799|UNLISTED GENITOURINARY PROCEDURE, DIAGNOSTIC NUCLEAR MEDICINE|UNLISTED GENITOURINARY PROCEDURE, DIAGNOSTIC NUCLEAR MEDICINE
78800|RADIOPHARMACEUTICAL LOCALIZATION OF TUMOR; LIMITED AREA|RADIOPHARMACEUTICAL LOCALIZATION OF TUMOR; LIMITED AREA
78801|RADIOPHARMACEUTICAL LOCALIZATION OF TUMOR; MULTIPLE AREAS|RADIOPHARMACEUTICAL LOCALIZATION OF TUMOR; MULTIPLE AREAS
78802|RADIOPHARMACEUTICAL LOCALIZATION OF TUMOR; WHOLE BODY|RADIOPHARMACEUTICAL LOCALIZATION OF TUMOR; WHOLE BODY
78803|RADIOPHARMACEUTICAL LOCALIZATION OF TUMOR; TOMOGRAPHIC (SPECT)|RADIOPHARMACEUTICAL LOCALIZATION OF TUMOR; TOMOGRAPHIC (SPECT)
78805|RADIOPHARMACEUTICAL LOCALIZATION OF INFLAMMATORY PROCESS; LIMITED AREA|RADIOPHARMACEUTICAL LOCALIZATION OF INFLAMMATORY PROCESS; LIMITED AREA
78806|RADIOPHARMACEUTICAL LOCALIZATION OF INFLAMMATORY PROCESS; WHOLE BODY|RADIOPHARMACEUTICAL LOCALIZATION OF INFLAMMATORY PROCESS; WHOLE BODY
78807|RADIOPHARMACEUTICAL LOCALIZATION OF INFLAMMATORY PROCESS; TOMOGRAPHIC (SPECT)|RADIOPHARMACEUTICAL LOCALIZATION OF INFLAMMATORY PROCESS; TOMOGRAPHIC (SPECT)
78810|TUMOR IMAGING, POSITRON EMISSION TOMOGRAPHY (PET), METABOLIC EVALUATION|TUMOR IMAGING, POSITRON EMISSION TOMOGRAPHY (PET), METABOLIC EVALUATION
78890|GENERATION OF AUTOMATED DATA: INTERACTIVE PROCESS INVOLVING NUCLEAR PHYSICIAN AND/OR ALLIED HEALTH PROFESSIONAL PERSONNEL; SIMPLE MANIPULATIONS|GENERATION OF AUTOMATED DATA: INTERACTIVE PROCESS INVOLVING NUCLEAR PHYSICIAN AND/OR ALLIED HEALTH PROFESSIONAL PERSONNEL; SIMPLE MANIPULATIONS
78891|GENERATION OF AUTOMATED DATA: INTERACTIVE PROCESS INVOLVING NUCLEAR PHYSICIAN AND/OR ALLIED HEALTH PROFESSIONAL PERSONNEL; COMPLEX MANIPULATION|GENERATION OF AUTOMATED DATA: INTERACTIVE PROCESS INVOLVING NUCLEAR PHYSICIAN AND/OR ALLIED HEALTH PROFESSIONAL PERSONNEL; COMPLEX MANIPULATION
78990|PROVISION OF DIAGNOSTIC RADIOPHARMACEUTICAL(S)|PROVISION OF DIAGNOSTIC RADIOPHARMACEUTICAL(S)
78999|UNLISTED MISCELLANEOUS PROCEDURE, DIAGNOSTIC NUCLEAR MEDICINE|UNLISTED MISCELLANEOUS PROCEDURE, DIAGNOSTIC NUCLEAR MEDICINE
79000|RADIOPHARMACEUTICAL THERAPY, HYPERTHYROIDISM; INITIAL, INCLUDING EVALUATION OF PATIENT|RADIOPHARMACEUTICAL THERAPY, HYPERTHYROIDISM; INITIAL, INCLUDING EVALUATION OF PATIENT
79001|RADIOPHARMACEUTICAL THERAPY, HYPERTHYROIDISM; SUBSEQUENT, EACH THERAPY|RADIOPHARMACEUTICAL THERAPY, HYPERTHYROIDISM; SUBSEQUENT, EACH THERAPY
79020|RADIOPHARMACEUTICAL THERAPY, THYROID SUPPRESSION (EUTHYROID CARDIAC DISEASE), INCLUDING EVALUATION OF PATIENT|RADIOPHARMACEUTICAL THERAPY, THYROID SUPPRESSION (EUTHYROID CARDIAC DISEASE), INCLUDING EVALUATION OF PATIENT
79030|RADIOPHARMACEUTICAL ABLATION OF GLAND FOR THYROID CARCINOMA|RADIOPHARMACEUTICAL ABLATION OF GLAND FOR THYROID CARCINOMA
79035|RADIOPHARMACEUTICAL THERAPY FOR METASTASES OF THYROID CARCINOMA|RADIOPHARMACEUTICAL THERAPY FOR METASTASES OF THYROID CARCINOMA
79100|RADIOPHARMACEUTICAL THERAPY, POLYCYTHEMIA VERA, CHRONIC LEUKEMIA, EACH TREATMENT|RADIOPHARMACEUTICAL THERAPY, POLYCYTHEMIA VERA, CHRONIC LEUKEMIA, EACH TREATMENT
79200|INTRACAVITARY RADIOACTIVE COLLOID THERAPY|INTRACAVITARY RADIOACTIVE COLLOID THERAPY
79300|INTERSTITIAL RADIOACTIVE COLLOID THERAPY|INTERSTITIAL RADIOACTIVE COLLOID THERAPY
79400|RADIOPHARMACEUTICAL THERAPY, NONTHYROID, NONHEMATOLOGIC|RADIOPHARMACEUTICAL THERAPY, NONTHYROID, NONHEMATOLOGIC
79420|INTRAVASCULAR RADIOPHARMACEUTICAL THERAPY, PARTICULATE|INTRAVASCULAR RADIOPHARMACEUTICAL THERAPY, PARTICULATE
79440|INTRA-ARTICULAR RADIOPHARMACEUTICAL THERAPY|INTRA-ARTICULAR RADIOPHARMACEUTICAL THERAPY
79900|PROVISION OF THERAPEUTIC RADIOPHARMACEUTICAL(S)|PROVISION OF THERAPEUTIC RADIOPHARMACEUTICAL(S)
79999|UNLISTED RADIOPHARMACEUTICAL THERAPEUTIC PROCEDURE|UNLISTED RADIOPHARMACEUTICAL THERAPEUTIC PROCEDURE
80048|BASIC METABOLIC PANEL|BASIC METABOLIC PANEL
80050|GENERAL HEALTH PANEL|GENERAL HEALTH PANEL
80051|ELECTROLYTES PANEL|ELECTROLYTES PANEL
80053|COMPREHENSIVE METABOLIC PANEL|COMPREHENSIVE METABOLIC PANEL
80055|OBSTETRIC PANEL|OBSTETRIC PANEL
80061|LIPID PANEL|LIPID PANEL
80069|RENAL FUNCTION PANEL|RENAL FUNCTION PANEL
80074|ACUTE HEPATITIS PANEL|ACUTE HEPATITIS PANEL
80076|HEPATIC FUNCTION PANEL|HEPATIC FUNCTION PANEL
80100|DRUG SCREEN, QUALITATIVE; MULTIPLE DRUG CLASSES CHROMATOGRAPHIC METHOD, EACH PROCEDURE|DRUG SCREEN, QUALITATIVE; MULTIPLE DRUG CLASSES CHROMATOGRAPHIC METHOD, EACH PROCEDURE
80101|DRUG SCREEN, QUALITATIVE; SINGLE DRUG CLASS METHOD (EG, IMMUNOASSAY, ENZYME ASSAY), EACH DRUG CLASS|DRUG SCREEN, QUALITATIVE; SINGLE DRUG CLASS METHOD (EG, IMMUNOASSAY, ENZYME ASSAY), EACH DRUG CLASS
80102|DRUG, CONFIRMATION, EACH PROCEDURE|DRUG, CONFIRMATION, EACH PROCEDURE
80103|TISSUE PREPARATION FOR DRUG ANALYSIS|TISSUE PREPARATION FOR DRUG ANALYSIS
80150|AMIKACIN|AMIKACIN
80152|AMITRIPTYLINE|AMITRIPTYLINE
80154|BENZODIAZEPINES|BENZODIAZEPINES
80156|CARBAMAZEPINE; TOTAL|CARBAMAZEPINE; TOTAL
80157|CARBAMAZEPINE; FREE|CARBAMAZEPINE; FREE
80158|CYCLOSPORINE|CYCLOSPORINE
80160|DESIPRAMINE|DESIPRAMINE
80162|DIGOXIN|DIGOXIN
80164|DIPROPYLACETIC ACID (VALPROIC ACID)|DIPROPYLACETIC ACID (VALPROIC ACID)
80166|DOXEPIN|DOXEPIN
80168|ETHOSUXIMIDE|ETHOSUXIMIDE
80170|GENTAMICIN|GENTAMICIN
80172|GOLD|GOLD
80173|HALOPERIDOL|HALOPERIDOL
80174|IMIPRAMINE|IMIPRAMINE
80176|LIDOCAINE|LIDOCAINE
80178|LITHIUM|LITHIUM
80182|NORTRIPTYLINE|NORTRIPTYLINE
80184|PHENOBARBITAL|PHENOBARBITAL
80185|PHENYTOIN; TOTAL|PHENYTOIN; TOTAL
80186|PHENYTOIN; FREE|PHENYTOIN; FREE
80188|PRIMIDONE|PRIMIDONE
80190|PROCAINAMIDE;|PROCAINAMIDE;
80192|PROCAINAMIDE; WITH METABOLITES (EG, N-ACETYL PROCAINAMIDE)|PROCAINAMIDE; WITH METABOLITES (EG, N-ACETYL PROCAINAMIDE)
80194|QUINIDINE|QUINIDINE
80196|SALICYLATE|SALICYLATE
80197|QUANT DRUG TACROLIMUS|QUANT DRUG TACROLIMUS
80198|THEOPHYLLINE|THEOPHYLLINE
80200|TOBRAMYCIN|TOBRAMYCIN
80201|TOPIRAMATE|TOPIRAMATE
80202|VANCOMYCIN|VANCOMYCIN
80299|QUANTITATION OF DRUG, NOT ELSEWHERE SPECIFIED|QUANTITATION OF DRUG, NOT ELSEWHERE SPECIFIED
80400|ACTH STIMULATION PANEL; FOR ADRENAL INSUFFICIENCY THIS PANEL MUST INCLUDE THE FOLLOWING: CORTISOL (82533 X 2)|ACTH STIMULATION PANEL; FOR ADRENAL INSUFFICIENCY THIS PANEL MUST INCLUDE THE FOLLOWING: CORTISOL (82533 X 2)
80402|ACTH STIMULATION PANEL; FOR 21 HYDROXYLASE DEFICIENCY THIS PANEL MUST INCLUDE THE FOLLOWING: CORTISOL (82533 X 2) 17 HYDROXYPROGESTERONE (83498|ACTH STIMULATION PANEL; FOR 21 HYDROXYLASE DEFICIENCY THIS PANEL MUST INCLUDE THE FOLLOWING: CORTISOL (82533 X 2) 17 HYDROXYPROGESTERONE (83498
80406|ACTH STIMULATION PANEL; FOR 3 BETA-HYDROXYDEHYDROGENASE DEFICIENCY THIS PANEL MUST INCLUDE THE FOLLOWING: CORTISOL (82533 X 2) 17 HYDROXYPREGNE|ACTH STIMULATION PANEL; FOR 3 BETA-HYDROXYDEHYDROGENASE DEFICIENCY THIS PANEL MUST INCLUDE THE FOLLOWING: CORTISOL (82533 X 2) 17 HYDROXYPREGNE
80408|ALDOSTERONE SUPPRESSION EVALUATION PANEL (EG, SALINE INFUSION) THIS PANEL MUST INCLUDE THE FOLLOWING: ALDOSTERONE (82088 X 2) RENIN (84244 X 2)|ALDOSTERONE SUPPRESSION EVALUATION PANEL (EG, SALINE INFUSION) THIS PANEL MUST INCLUDE THE FOLLOWING: ALDOSTERONE (82088 X 2) RENIN (84244 X 2)
80410|CALCIUM-PENTAGASTRIN STIMULATION PANEL THIS PANEL MUST INCLUDE THE FOLLOWING: CALCITONIN (82308 X 4)|CALCIUM-PENTAGASTRIN STIMULATION PANEL THIS PANEL MUST INCLUDE THE FOLLOWING: CALCITONIN (82308 X 4)
80412|CORTICOTROPIC RELEASING HORMONE (CRH) STIMULATION PANEL THIS PANEL MUST INCLUDE THE FOLLOWING: CORTISOL (82533 X 6) ADRENOCORTICOTROPIC HORMONE|CORTICOTROPIC RELEASING HORMONE (CRH) STIMULATION PANEL THIS PANEL MUST INCLUDE THE FOLLOWING: CORTISOL (82533 X 6) ADRENOCORTICOTROPIC HORMONE
80414|CHORIONIC GONADOTROPIN STIMULATION PANEL; TESTOSTERONE RESPONSE THIS PANEL MUST INCLUDE THE FOLLOWING: TESTOSTERONE (84403 X 2 ON THREE POOLED|CHORIONIC GONADOTROPIN STIMULATION PANEL; TESTOSTERONE RESPONSE THIS PANEL MUST INCLUDE THE FOLLOWING: TESTOSTERONE (84403 X 2 ON THREE POOLED
80415|CHORIONIC GONADOTROPIN STIMULATION PANEL; ESTRADIOL RESPONSE THIS PANEL MUST INCLUDE THE FOLLOWING: ESTRADIOL (82670 X 2 ON THREE POOLED BLOOD|CHORIONIC GONADOTROPIN STIMULATION PANEL; ESTRADIOL RESPONSE THIS PANEL MUST INCLUDE THE FOLLOWING: ESTRADIOL (82670 X 2 ON THREE POOLED BLOOD
80416|RENAL VEIN RENIN STIMULATION PANEL (EG, CAPTOPRIL)|RENAL VEIN RENIN STIMULATION PANEL (EG, CAPTOPRIL)
80417|PERIPHERAL VEIN RENIN STIMULATION PANEL (EG, CAPTOPRIL)|PERIPHERAL VEIN RENIN STIMULATION PANEL (EG, CAPTOPRIL)
80418|COMBINED RAPID ANT PITUITARY EVAL PANEL MUST INCLUDE: (ACTH) (82024 X 4) (LH) (83002 X 4) (FSH) (83001 X 4) PROLACTIN (84146 X 4) (HGH) (83003|COMBINED RAPID ANT PITUITARY EVAL PANEL MUST INCLUDE: (ACTH) (82024 X 4) (LH) (83002 X 4) (FSH) (83001 X 4) PROLACTIN (84146 X 4) (HGH) (83003
80420|DEXAMETHASONE SUPPRESSION PANEL, 48 HOUR MUST INCLUDE: FREE CORTISOL, URINE (82530 X 2) CORTISOL (82533 X 2) VOLUME MEASURE FOR TIMED COLLECTIO|DEXAMETHASONE SUPPRESSION PANEL, 48 HOUR MUST INCLUDE: FREE CORTISOL, URINE (82530 X 2) CORTISOL (82533 X 2) VOLUME MEASURE FOR TIMED COLLECTIO
80422|GLUCAGON TOLERANCE PANEL; FOR INSULINOMA MUST INCLUDE: GLUCOSE (82947 X 3) INSULIN (83525 X 3)|GLUCAGON TOLERANCE PANEL; FOR INSULINOMA MUST INCLUDE: GLUCOSE (82947 X 3) INSULIN (83525 X 3)
80424|GLUCAGON TOLERANCE PANEL; FOR PHEOCHROMOCYTOMA MUST INCLUDE: CATECHOLAMINES, FRACTIONATED (82384 X 2)|GLUCAGON TOLERANCE PANEL; FOR PHEOCHROMOCYTOMA MUST INCLUDE: CATECHOLAMINES, FRACTIONATED (82384 X 2)
80426|GONADOTROPIN RELEASING HORMONE STIMULATION PANEL MUST INCLUDE: FOLLICLE STIMULATING HORMONE (FSH) (83001 X 4) LUTEINIZING HORMONE (LH) (83002 X|GONADOTROPIN RELEASING HORMONE STIMULATION PANEL MUST INCLUDE: FOLLICLE STIMULATING HORMONE (FSH) (83001 X 4) LUTEINIZING HORMONE (LH) (83002 X
80428|GROWTH HORMONE STIMULATION PANEL (EG, ARGININE INFUSION, L-DOPA ADMINISTRATION) THIS PANEL MUST INCLUDE THE FOLLOWING: HUMAN GROWTH HORMONE (HG|GROWTH HORMONE STIMULATION PANEL (EG, ARGININE INFUSION, L-DOPA ADMINISTRATION) THIS PANEL MUST INCLUDE THE FOLLOWING: HUMAN GROWTH HORMONE (HG
80430|GROWTH HORMONE SUPPRESSION PANEL (GLUCOSE ADMINISTRATION) THIS PANEL MUST INCLUDE THE FOLLOWING: GLUCOSE (82947 X 3) HUMAN GROWTH HORMONE (HGH)|GROWTH HORMONE SUPPRESSION PANEL (GLUCOSE ADMINISTRATION) THIS PANEL MUST INCLUDE THE FOLLOWING: GLUCOSE (82947 X 3) HUMAN GROWTH HORMONE (HGH)
80432|INSULIN-INDUCED C-PEPTIDE SUPPRESSION PANEL THIS PANEL MUST INCLUDE THE FOLLOWING: INSULIN (83525) C-PEPTIDE (84681 X 5) GLUCOSE (82947 X 5)|INSULIN-INDUCED C-PEPTIDE SUPPRESSION PANEL THIS PANEL MUST INCLUDE THE FOLLOWING: INSULIN (83525) C-PEPTIDE (84681 X 5) GLUCOSE (82947 X 5)
80434|INSULIN TOLERANCE PANEL; FOR ACTH INSUFFICIENCY THIS PANEL MUST INCLUDE THE FOLLOWING: CORTISOL (82533 X 5) GLUCOSE (82947 X 5)|INSULIN TOLERANCE PANEL; FOR ACTH INSUFFICIENCY THIS PANEL MUST INCLUDE THE FOLLOWING: CORTISOL (82533 X 5) GLUCOSE (82947 X 5)
80435|INSULIN TOLERANCE PANEL; FOR GROWTH HORMONE DEFICIENCY THIS PANEL MUST INCLUDE THE FOLLOWING: GLUCOSE (82947 X 5) HUMAN GROWTH HORMONE (HGH) (8|INSULIN TOLERANCE PANEL; FOR GROWTH HORMONE DEFICIENCY THIS PANEL MUST INCLUDE THE FOLLOWING: GLUCOSE (82947 X 5) HUMAN GROWTH HORMONE (HGH) (8
80436|METYRAPONE PANEL THIS PANEL MUST INCLUDE THE FOLLOWING: CORTISOL (82533 X 2) 11 DEOXYCORTISOL (82634 X 2)|METYRAPONE PANEL THIS PANEL MUST INCLUDE THE FOLLOWING: CORTISOL (82533 X 2) 11 DEOXYCORTISOL (82634 X 2)
80438|THYROTROPIN RELEASING HORMONE (TRH) STIMULATION PANEL; ONE HOUR THIS PANEL MUST INCLUDE THE FOLLOWING: THYROID STIMULATING HORMONE (TSH) (84443|THYROTROPIN RELEASING HORMONE (TRH) STIMULATION PANEL; ONE HOUR THIS PANEL MUST INCLUDE THE FOLLOWING: THYROID STIMULATING HORMONE (TSH) (84443
80439|THYROTROPIN RELEASING HORMONE (TRH) STIMULATION PANEL; TWO HOUR THIS PANEL MUST INCLUDE THE FOLLOWING: THYROID STIMULATING HORMONE (TSH) (84443|THYROTROPIN RELEASING HORMONE (TRH) STIMULATION PANEL; TWO HOUR THIS PANEL MUST INCLUDE THE FOLLOWING: THYROID STIMULATING HORMONE (TSH) (84443
80440|THYROTROPIN RELEASING HORMONE (TRH) STIMULATION PANEL; FOR HYPERPROLACTINEMIA THIS PANEL MUST INCLUDE THE FOLLOWING: PROLACTIN (84146 X 3)|THYROTROPIN RELEASING HORMONE (TRH) STIMULATION PANEL; FOR HYPERPROLACTINEMIA THIS PANEL MUST INCLUDE THE FOLLOWING: PROLACTIN (84146 X 3)
80500|CLINICAL PATHOLOGY CONSULTATION; LIMITED, WITHOUT REVIEW OF PATIENT'S HISTORY AND MEDICAL RECORDS|CLINICAL PATHOLOGY CONSULTATION; LIMITED, WITHOUT REVIEW OF PATIENT'S HISTORY AND MEDICAL RECORDS
80502|CLINICAL PATHOLOGY CONSULTATION; COMPREHENSIVE, FOR A COMPLEX DIAGNOSTIC PROBLEM, WITH REVIEW OF PATIENT'S HISTORY AND MEDICAL RECORDS|CLINICAL PATHOLOGY CONSULTATION; COMPREHENSIVE, FOR A COMPLEX DIAGNOSTIC PROBLEM, WITH REVIEW OF PATIENT'S HISTORY AND MEDICAL RECORDS
81000|URINALYSIS, BY DIP STICK OR TABLET REAGENT FOR BILIRUBIN, GLUCOSE, HEMOGLOBIN, KETONES, LEUKOCYTES, NITRITE, PH, PROTEIN, SPEC GRAVITY, UROBILI|URINALYSIS, BY DIP STICK OR TABLET REAGENT FOR BILIRUBIN, GLUCOSE, HEMOGLOBIN, KETONES, LEUKOCYTES, NITRITE, PH, PROTEIN, SPEC GRAVITY, UROBILI
81001|URINALYSIS, BY DIP STICK/TABLET REAGENT FOR BILIRUBIN, GLUCOSE, HEMOGLOBIN, KETONES, LEUKOCYTES, NITRITE, PH, PROTEIN, SPEC GRAV, UROBILINOGEN,|URINALYSIS, BY DIP STICK/TABLET REAGENT FOR BILIRUBIN, GLUCOSE, HEMOGLOBIN, KETONES, LEUKOCYTES, NITRITE, PH, PROTEIN, SPEC GRAV, UROBILINOGEN,
81002|URINALYSIS, BY DIP STICK OR TABLET REAGENT FOR BILIRUBIN, GLUCOSE, HEMOGLOBIN, KETONES, LEUKOCYTES, NITRITE, PH, PROTEIN, SPEC GRAVITY, UROBILI|URINALYSIS, BY DIP STICK OR TABLET REAGENT FOR BILIRUBIN, GLUCOSE, HEMOGLOBIN, KETONES, LEUKOCYTES, NITRITE, PH, PROTEIN, SPEC GRAVITY, UROBILI
81003|URINALYSIS, BY DIP STICK OR TABLET REAGENT FOR BILIRUBIN, GLUCOSE, HEMOGLOBIN, KETONES, LEUKOCYTES, NITRITE, PH, PROTEIN, SPEC GRAVITY, UROBILI|URINALYSIS, BY DIP STICK OR TABLET REAGENT FOR BILIRUBIN, GLUCOSE, HEMOGLOBIN, KETONES, LEUKOCYTES, NITRITE, PH, PROTEIN, SPEC GRAVITY, UROBILI
81005|URINALYSIS; QUALITATIVE OR SEMIQUANTITATIVE, EXCEPT IMMUNOASSAYS|URINALYSIS; QUALITATIVE OR SEMIQUANTITATIVE, EXCEPT IMMUNOASSAYS
81007|URINALYSIS; BACTERIURIA SCREEN, EXCEPT BY CULTURE OR DIPSTICK|URINALYSIS; BACTERIURIA SCREEN, EXCEPT BY CULTURE OR DIPSTICK
81015|URINALYSIS; MICROSCOPIC ONLY|URINALYSIS; MICROSCOPIC ONLY
81020|URINALYSIS; TWO OR THREE GLASS TEST|URINALYSIS; TWO OR THREE GLASS TEST
81025|URINE PREGNANCY TEST, BY VISUAL COLOR COMPARISON METHODS|URINE PREGNANCY TEST, BY VISUAL COLOR COMPARISON METHODS
81050|VOLUME MEASUREMENT FOR TIMED COLLECTION, EACH|VOLUME MEASUREMENT FOR TIMED COLLECTION, EACH
81099|UNLISTED URINALYSIS PROCEDURE|UNLISTED URINALYSIS PROCEDURE
82000|ACETALDEHYDE, BLOOD|ACETALDEHYDE, BLOOD
82003|ACETAMINOPHEN|ACETAMINOPHEN
82009|ACETONE OR OTHER KETONE BODIES, SERUM; QUALITATIVE|ACETONE OR OTHER KETONE BODIES, SERUM; QUALITATIVE
82010|ACETONE OR OTHER KETONE BODIES, SERUM; QUANTITATIVE|ACETONE OR OTHER KETONE BODIES, SERUM; QUANTITATIVE
82013|ACETYLCHOLINESTERASE|ACETYLCHOLINESTERASE
