CPT_LONG_DESCRIPTION|CPT_ADD_NOTE|CPT_CODE|CPT_SHORT_DESCRIPTION
HYSTEROSALPINGOGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION||74740|X-RAY, FEMALE GENITAL TRACT
TRANSCERVICAL CATHETERIZATION OF FALLOPIAN TUBE, RADIOLOGICAL SUPERVISION AND INTERPRETATION||74742|X-RAY, FALLOPIAN TUBE
PERINEOGRAM (EG, VAGINOGRAM, FOR SEX DETERMINATION OR EXTENT OF ANOMALIES)||74775|X-RAY EXAM OF PERINEUM
CARDIAC MAGNETIC RESONANCE IMAGING FOR MORPHOLOGY; WITHOUT CONTRAST MATERIAL||75552|MAGNETIC IMAGE, MYOCARDIUM
CARDIAC MAGNETIC RESONANCE IMAGING FOR MORPHOLOGY; WITH CONTRAST MATERIAL||75553|MAGNETIC IMAGE, MYOCARDIUM
CARDIAC MAGNETIC RESONANCE IMAGING FOR FUNCTION, WITH OR WITHOUT MORPHOLOGY; COMPLETE STUDY||75554|CARDIAC MRI/FUNCTION
CARDIAC MAGNETIC RESONANCE IMAGING FOR FUNCTION, WITH OR WITHOUT MORPHOLOGY;LIMITED STUDY||75555|CARDIAC MRI/LIMITED STUDY
CARDIAC MAGNETIC RESONANCE IMAGING FOR VELOCITY FLOW MAPPING||75556|CARDIAC MRI/FLOW MAPPING
AORTOGRAPHY, THORACIC, WITHOUT SERIALOGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75600|CONTRAST X-RAY EXAM OF AORTA
AORTOGRAPHY, THORACIC, BY SERIALOGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75605|CONTRAST X-RAY EXAM OF AORTA
AORTOGRAPHY, ABDOMINAL, BY SERIALOGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75625|CONTRAST X-RAY EXAM OF AORTA
AORTOGRAPHY, ABDOMINAL PLUS BILATERAL ILIOFEMORAL LOWER EXTREMITY, CATHETER, BY SERIALOGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75630|X-RAY AORTA, LEG ARTERIES
COMPUTD TOMOGRAPH ANGIOGRAPHY,ABDOMIN AORTA & BILATRL ILIOFEMORAL LOW EXTREMITY RUNOFF,RADLGICL SUPRVSN & INTR PRETATN, WO CONTRAST MATERIAL,FL|LOW|75635|CT ANGIO,ABDM AORT,BILAT ILIOF
ANGIOGRAPHY, CERVICOCEREBRAL, CATHETER, INCLUDING VESSEL ORIGIN, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75650|ARTERY X-RAYS, HEAD & NECK
ANGIOGRAPHY, BRACHIAL, RETROGRADE, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75658|ARTERY X-RAYS, ARM
ANGIOGRAPHY, EXTERNAL CAROTID, UNILATERAL, SELECTIVE, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75660|ARTERY X-RAYS, HEAD & NECK
ANGIOGRAPHY, EXTERNAL CAROTID, BILATERAL, SELECTIVE, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75662|ARTERY X-RAYS, HEAD & NECK
ANGIOGRAPHY, CAROTID, CEREBRAL, UNILATERAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75665|ARTERY X-RAYS, HEAD & NECK
ANGIOGRAPHY, CAROTID, CEREBRAL, BILATERAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75671|ARTERY X-RAYS, HEAD & NECK
ANGIOGRAPHY, CAROTID, CERVICAL, UNILATERAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75676|ARTERY X-RAYS, NECK
ANGIOGRAPHY, CAROTID, CERVICAL, BILATERAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75680|ARTERY X-RAYS, NECK
ANGIOGRAPHY, VERTEBRAL, CERVICAL, AND/OR INTRACRANIAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75685|ARTERY X-RAYS, SPINE
ANGIOGRAPHY, SPINAL, SELECTIVE, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75705|ARTERY X-RAYS, SPINE
ANGIOGRAPHY, EXTREMITY, UNILATERAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75710|ARTERY X-RAYS, ARM/LEG
ANGIOGRAPHY, EXTREMITY, BILATERAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75716|ARTERY X-RAYS, ARMS/LEGS
ANGIOGRAPHY, RENAL, UNILATERAL, SELECTIVE (INCLUDING FLUSH AORTOGRAM), RADIOLOGICAL SUPERVISION AND INTERPRETATION||75722|ARTERY X-RAYS, KIDNEY
ANGIOGRAPHY, RENAL, BILATERAL, SELECTIVE (INCLUDING FLUSH AORTOGRAM), RADIOLOGICAL SUPERVISION AND INTERPRETATION||75724|ARTERY X-RAYS, KIDNEYS
ANGIOGRAPHY, VISCERAL, SELECTIVE OR SUPRASELECTIVE, (WITH OR WITHOUT FLUSH AORTOGRAM), RADIOLOGICAL SUPERVISION AND INTERPRETATION||75726|ARTERY X-RAYS, ABDOMEN
ANGIOGRAPHY, ADRENAL, UNILATERAL, SELECTIVE, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75731|ARTERY X-RAYS, ADRENAL GLAND
ANGIOGRAPHY, ADRENAL, BILATERAL, SELECTIVE, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75733|ARTERY X-RAYS, ADRENALS
ANGIOGRAPHY, PELVIC, SELECTIVE OR SUPRASELECTIVE, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75736|ARTERY X-RAYS, PELVIS
ANGIOGRAPHY, PULMONARY, UNILATERAL, SELECTIVE, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75741|ARTERY X-RAYS, LUNG
ANGIOGRAPHY, PULMONARY, BILATERAL, SELECTIVE, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75743|ARTERY X-RAYS, LUNGS
ANGIOGRAPHY, PULMONARY, BY NONSELECTIVE CATHETER OR VENOUS INJECTION, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75746|ARTERY X-RAYS, LUNG
ANGIOGRAPHY, INTERNAL MAMMARY, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75756|ARTERY X-RAYS, CHEST
ANGIOGRAPHY, SELECTIVE, EACH ADDITIONAL VESSEL STUDIED AFTER BASIC EXAMINATION, RADIOLOGICAL SUPERVISION AND INTERPRETATION (LIST SEPARATELY IN|AD|75774|ARTERY X-RAY, EACH VESSEL
ANGIOGRAPHY, ARTERIOVENOUS SHUNT (EG, DIALYSIS PATIENT), RADIOLOGICAL SUPERVISION AND INTERPRETATION||75790|VISUALIZE A-V SHUNT
LYMPHANGIOGRAPHY, EXTREMITY ONLY, UNILATERAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75801|LYMPH VESSEL X-RAY, ARM/LEG
LYMPHANGIOGRAPHY, EXTREMITY ONLY, BILATERAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75803|LYMPH VESSEL X-RAY,ARMS/LEGS
LYMPHANGIOGRAPHY, PELVIC/ABDOMINAL, UNILATERAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75805|LYMPH VESSEL X-RAY, TRUNK
LYMPHANGIOGRAPHY, PELVIC/ABDOMINAL, BILATERAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75807|LYMPH VESSEL X-RAY, TRUNK
SHUNTOGRAM FOR INVESTIGATION OF PREVIOUSLY PLACED INDWELLING NONVASCULAR SHUNT (EG, LEVEEN SHUNT, VENTRICULOPERITONEAL SHUNT, INDWELLING INFUSI|ON|75809|SHUNTOGRM,INVSTIGTN PRV PLCD
SPLENOPORTOGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75810|VEIN X-RAY, SPLEEN/LIVER
VENOGRAPHY, EXTREMITY, UNILATERAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75820|VEIN X-RAY, ARM/LEG
VENOGRAPHY, EXTREMITY, BILATERAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75822|VEIN X-RAY, ARMS/LEGS
VENOGRAPHY, CAVAL, INFERIOR, WITH SERIALOGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75825|VEIN X-RAY, TRUNK
VENOGRAPHY, CAVAL, SUPERIOR, WITH SERIALOGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75827|VEIN X-RAY, CHEST
VENOGRAPHY, RENAL, UNILATERAL, SELECTIVE, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75831|VEIN X-RAY, KIDNEY
VENOGRAPHY, RENAL, BILATERAL, SELECTIVE, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75833|VEIN X-RAY, KIDNEYS
VENOGRAPHY, ADRENAL, UNILATERAL, SELECTIVE, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75840|VEIN X-RAY, ADRENAL GLAND
VENOGRAPHY, ADRENAL, BILATERAL, SELECTIVE, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75842|VEIN X-RAY, ADRENAL GLANDS
VENOGRAPHY, SINUS OR JUGULAR, CATHETER, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75860|VEIN X-RAY, NECK
VENOGRAPHY, SUPERIOR SAGITTAL SINUS, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75870|VEIN X-RAY, SKULL
VENOGRAPHY, EPIDURAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75872|VEIN X-RAY, SKULL
VENOGRAPHY, ORBITAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75880|VEIN X-RAY, EYE SOCKET
PERCUTANEOUS TRANSHEPATIC PORTOGRAPHY WITH HEMODYNAMIC EVALUATION, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75885|VEIN X-RAY, LIVER
PERCUTANEOUS TRANSHEPATIC PORTOGRAPHY WITHOUT HEMODYNAMIC EVALUATION, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75887|VEIN X-RAY, LIVER
HEPATIC VENOGRAPHY, WEDGED OR FREE, WITH HEMODYNAMIC EVALUATION, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75889|VEIN X-RAY, LIVER
HEPATIC VENOGRAPHY, WEDGED OR FREE, WITHOUT HEMODYNAMIC EVALUATION, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75891|VEIN X-RAY, LIVER
VENOUS SAMPLING THROUGH CATHETER, WITH OR WITHOUT ANGIOGRAPHY (EG, FOR PARATHYROID HORMONE, RENIN), RADIOLOGICAL SUPERVISION AND INTERPRETATION||75893|VENOUS SAMPLING BY CATHETER
TRANSCATHETER THERAPY, EMBOLIZATION, ANY METHOD, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75894|X-RAYS, TRANSCATH THERAPY
TRANSCATHETER THERAPY, INFUSION, ANY METHOD (EG, THROMBOLYSIS OTHER THAN CORONARY), RADIOLOGICAL SUPERVISION AND INTERPRETATION||75896|X-RAYS, TRANSCATH THERAPY
ANGIOGRAPHY THROUGH EXISTING CATHETER FOR FOLLOW-UP STUDY FOR TRANSCATHETER THERAPY, EMBOLIZATION OR INFUSION||75898|FOLLOW-UP ANGIOGRAPHY
EXCHANGE OF A PREVIOUSLY PLACED ARTERIAL CATHETER DURING THROMBOLYTIC THERAPY WITH CONTRAST MONITORING, RADIOLOGICAL SUPERVISION AND INTERPRETA|TIO|75900|ARTERIAL CATHETER EXCHANGE
MECHANICAL REMOVAL OF PERICATHETER OBSTRUCTIVE MATERIAL (EG, FIBRIN SHEATH) FROM CENTRAL VENOUS DEVICE VIA SEPARATE VENOUS ACCESS,RADIOLOGIC SU|PER|75901|REMOVE CVA DEVICE OBSTRUCT
MECHANICAL REMOVAL OF INTRALUMINAL (INTRACATHETER) OBSTRUCTIVE MATERIAL FROM CENTRAL VENOUS DEVICE THROUGH DEVICE LUMEN, RADIOLOGIC SUPERVISION|AN|75902|REMOVE CVA LUMEN OBSTRUCT
PERCUTANEOUS PLACEMENT OF IVC FILTER, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75940|X-RAY PLACEMENT, VEIN FILTER
INTRAVASCULAR ULTRASOUND (NON-CORONARY VESSEL), RADIOLOGICAL SUPERVISION AND INTERPRETATION; INITIAL VESSEL||75945|INTRAVASCULAR US
INTRAVASCULAR ULTRASOUND (NON-CORONARY VESSEL), RADIOLOGICAL SUPERVISION AND INTERPRETATION; EACH ADDITIONAL NON-CORONARY VESSEL (LIST SEPARATE|LY|75946|INTRAVASCULAR US ADD-ON
ENDOVASCULAR REPAIR OF INFRARENAL ABDOMINAL AORTIC ANEURYSM OR DISSECTION, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75952|ENDOVS REP INF ABDM AORT ANEUR
PLACEMENT OF PROXIMAL OR DISTAL EXTENSION PROSTHESIS FOR ENDOVASCULAR REPAIR OF INFRARENAL AORTIC OR ILIAC ARTERY ANEURYSM, PSEUDOANEURYSM, OR|DIS|75953|PRXM PROS ENDO RPR ART ANRYM
ENDOVASCULAR REPAIR OF ILIAC ARTERY ANEURYSM, PSEUDOANEURYSM, ARTERIOVENOUS MALFORMATION, OR TRAUMA, RADIOLOGICAL SUPERVISION AND INTERPRETATIO|N|75954|ENDOVAS RPR ILIAC ANEURYSM
TRANSCATHETER INTRODUCTION OF INTRAVASCULAR STENT(S), (NON-CORONARY VESSEL), PERCUTANEOUS AND/OR OPEN, RADIOLOGICAL SUPERVISION AND INTERPRETAT|ION|75960|TRANSCATHETER INTRO, STENT
TRANSCATHETER RETRIEVAL, PERCUTANEOUS, OF INTRAVASCULAR FOREIGN BODY (EG, FRACTURED VENOUS OR ARTERIAL CATHETER), RADIOLOGICAL SUPERVISION AND|INT|75961|RETRIEVAL, BROKEN CATHETER
TRANSLUMINAL BALLOON ANGIOPLASTY, PERIPHERAL ARTERY, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75962|REPAIR ARTERIAL BLOCKAGE
TRANSLUMINAL BALLOON ANGIOPLASTY, EACH ADDITIONAL PERIPHERAL ARTERY, RADIOLOGICAL SUPERVISION AND INTERPRETATION (LIST SEPARATELY IN ADDITION T|O C|75964|REPAIR ARTERY BLOCKAGE, EACH
TRANSLUMINAL BALLOON ANGIOPLASTY, RENAL OR OTHER VISCERAL ARTERY, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75966|REPAIR ARTERIAL BLOCKAGE
TRANSLUMINAL BALLOON ANGIOPLASTY, EACH ADDITIONAL VISCERAL ARTERY, RADIOLOGICAL SUPERVISION AND INTERPRETATION (LIST SEPARATELY IN ADDITION TO|COD|75968|REPAIR ARTERY BLOCKAGE, EACH
TRANSCATHETER BIOPSY, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75970|VASCULAR BIOPSY
TRANSLUMINAL BALLOON ANGIOPLASTY, VENOUS (EG, SUBCLAVIAN STENOSIS), RADIOLOGICAL SUPERVISION AND INTERPRETATION||75978|REPAIR VENOUS BLOCKAGE
PERCUTANEOUS TRANSHEPATIC BILIARY DRAINAGE WITH CONTRAST MONITORING, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75980|CONTRAST XRAY EXAM BILE DUCT
PERCUTANEOUS PLACEMENT OF DRAINAGE CATH FOR COMBINED INT/EXTERNAL BILIARY DRAINAGE FOR INTERNAL DRAINAGE; MECHANICAL BILIARY OBSTRUCTION, RADIO|LOG|75982|CONTRAST XRAY EXAM BILE DUCT
CHANGE OF PERCUTANEOUS TUBE OR DRAINAGE CATHETER WITH CONTRAST MONITORING (EG, GASTROINTESTINAL SYSTEM, GENITOURINARY SYSTEM, ABSCESS), RADIOLO|GIC|75984|XRAY CONTROL CATHETER CHANGE
RADIOLOGICAL GUIDANCE (IE, FLUOROSCOPY, ULTRASOUND,/COMPUTED TOMOGRAPHY),, PERCUTANEOUS DRAINAGE (EG, ABSCESS, SPECIMEN COLLECTION), WITH PLACE|MEN|75989|RADIO DRAIN W/ CATH & INTERP
TRANSLUMINAL ATHERECTOMY, PERIPHERAL ARTERY, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75992|ATHERECTOMY, X-RAY EXAM
TRANSLUMINAL ATHERECTOMY, EACH ADDITIONAL PERIPHERAL ARTERY, RADIOLOGICAL SUPERVISION AND INTERPRETATION (LIST SEPARATELY IN ADDITION TO CODE F|OR|75993|ATHERECTOMY, X-RAY EXAM
TRANSLUMINAL ATHERECTOMY, RENAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75994|ATHERECTOMY, X-RAY EXAM
TRANSLUMINAL ATHERECTOMY, VISCERAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION||75995|ATHERECTOMY, X-RAY EXAM
TRANSLUMINAL ATHERECTOMY, EACH ADDITIONAL VISCERAL ARTERY, RADIOLOGICAL SUPERVISION AND INTERPRETATION (LIST SEPARATELY IN ADDITION TO CODE FOR|PR|75996|ATHERECTOMY, X-RAY EXAM
FLUOROSCOPY (SEPARATE PROCEDURE), UP TO ONE HOUR PHYSICIAN TIME, OTHER THAN 71023 OR 71034 (EG, CARDIAC FLUOROSCOPY)||76000|FLUOROSCOPE EXAMINATION
FLUOROSCOPY, PHYSICIAN TIME MORE THAN ONE HOUR, ASSISTING A NON-RADIOLOGIC PHYSICIAN (EG, NEPHROSTOLITHOTOMY, ERCP, BRONCHOSCOPY, TRANSBRONCHIA|L B|76001|FLUOROSCOPE EXAM, EXTENSIVE
FLUOROSCOPIC GUIDANCE FOR NEEDLE PLACEMENT (EG, BIOPSY, ASPIRATION, INJECTION, LOCALIZATION DEVICE)||76003|FLUOROSCOP GUID,NDL PLACE
FLUOROSCOPIC GUIDE & LOCAL OF NEEDLE/CATH TIP FOR SPINE/PARASPINOUS DIAG/THERAP INJ PROC (EPIDUR,TRANSFORAMIN EPIDUR,SUBARACHN,PARAVERT FACET J|"T,P"|76005|FLUOROGUIDE FOR SPINE INJECT
MANUAL APPLICATION OF STRESS PERFORMED BY PHYSICIAN FOR JOINT RADIOGRAPHY, INCLUDING CONTRALATERAL JOINT IF INDICATED||76006|APP STRES JNT RDIO INCLUDE JNT
RADIOLOGIC EXAMINATION FROM NOSE TO RECTUM FOR FOREIGN BODY, SINGLE VIEW, CHILD||76010|RADIO EXM,NSE TO RECTM FRN BDY
RADIOLOGICAL SUPERVISION AND INTERPRETATION, PERCUTANEOUS VERTEBROPLASTY, PER VERTEBRAL BODY; UNDER FLUOROSCOPIC GUIDANCE||76012|RAD SUP&INT,VERTEBROPLS;FLUORS
RADIOLOGICAL SUPERVISION AND INTERPRETATION, PERCUTANEOUS VERTEBROPLASTY, PER VERTEBRAL BODY; UNDER CT GUIDANCE||76013|RAD SUP&INT,VERTEBROPL;CT GUID
BONE AGE STUDIES||76020|X-RAYS FOR BONE AGE
BONE LENGTH STUDIES (ORTHOROENTGENOGRAM, SCANOGRAM)||76040|X-RAYS, BONE EVALUATION
RADIOLOGIC EXAMINATION, OSSEOUS SURVEY; LIMITED (EG, FOR METASTASES)||76061|X-RAYS, BONE SURVEY
RADIOLOGIC EXAMINATION, OSSEOUS SURVEY; COMPLETE (AXIAL AND APPENDICULAR SKELETON)||76062|X-RAYS, BONE SURVEY
RADIOLOGIC EXAMINATION, OSSEOUS SURVEY, INFANT||76065|X-RAYS, BONE EVALUATION
JOINT SURVEY, SINGLE VIEW, TWO OR MORE JOINTS (SPECIFY)||76066|JOINT SURVEY, SINGLE VIEW
COMPUTED TOMOGRAPHY, BONE MINERAL DENSITY STUDY, ONE OR MORE SITES; AXIAL SKELETON (EG, HIPS, PELVIS, SPINE)||76070|CT BNE MNERAL DENS 1+ SITES
COMPUTED TOMOGRAPHY, BONE MINERAL DENSITY STUDY, ONE OR MORE SITES; APPENDICULAR SKELETON (PERIPHERAL) (EG, RADIUS, WRIST, HEEL)||76071|CT BONE DENSITY, PERIPHERAL
DUAL ENERGY X-RAY ABSORPTIOMETRY (DEXA), BONE DENSITY STUDY||76075|DUAL ENERGY X-RAY STUDY
DUAL ENERGY X-RAY ABSORPTIOMETRY (DEXA), BONE DENSITY STUDY, ONE OR MORE SITES;APPENDICULAR SKELETON (PERIPHERAL) (EG, RADIUS, WRIST, HEEL)||76076|DUAL ENERGY X-RAY STUDY
RADIOGRAPHIC ABSORPTIOMETRY (EG, PHOTODENSITOMETRY, RADIOGRAMMETRY), ONE OR MORE SITES||76078|RADIOGRAPHIC ABSORPTIOMETRY
RADIOLOGIC EXAMINATION, FISTULA OR SINUS TRACT STUDY, RADIOLOGICAL SUPERVISION AND INTERPRETATION||76080|X-RAY EXAM OF FISTULA
DIGITIZATION OF FILM RADIOGRAPHIC IMAGES WITH COMPUTER ANALYSIS FOR LESION DETECTION&FURTHER PHYSICIAN REVIEW FOR INTERPRETATION, MAMMOGRAPHY (|LIS|76085|DIG FLM W/ COMP ANALYS MAMMO
MAMMARY DUCTOGRAM OR GALACTOGRAM, SINGLE DUCT, RADIOLOGICAL SUPERVISION AND INTERPRETATION||76086|X-RAY OF MAMMARY DUCT
MAMMARY DUCTOGRAM OR GALACTOGRAM, MULTIPLE DUCTS, RADIOLOGICAL SUPERVISION AND INTERPRETATION||76088|X-RAY OF MAMMARY DUCTS
MAMMOGRAPHY; UNILATERAL||76090|MAMMOGRAM, ONE BREAST
MAMMOGRAPHY; BILATERAL||76091|MAMMOGRAM, BOTH BREASTS
SCREENING MAMMOGRAPHY, BILATERAL (TWO VIEW FILM STUDY OF EACH BREAST)||76092|MAMM0GRAM, SCREENING
MAGNETIC RESONANCE IMAGING, BREAST, WITHOUT AND/OR WITH CONTRAST MATERIAL(S); UNILATERAL||76093|MAGNETIC IMAGE, BREAST
MAGNETIC RESONANCE IMAGING, BREAST, WITHOUT AND/OR WITH CONTRAST MATERIAL(S); BILATERAL||76094|MAGNETIC IMAGE, BOTH BREASTS
STEREOTACTIC LOCALIZATION GUIDANCE FOR BREAST BIOPSY OR NEEDLE PLACEMENT (EG, FOR WIRE LOCALIZATION OR FOR INJECTION), EACH LESION, RADIOLOGICA|L S|76095|STEREOTACT LOC GD,BRST BX/NDL
MAMMOGRAPHIC GUIDANCE FOR NEEDLE PLACEMENT, BREAST (EG, FOR WIRE LOCALIZATION OR FOR INJECTION), EACH LESION, RADIOLOGICAL SUPERVISION AND INTE|RPR|76096|MAMMOGRAPH GD,NDL,BRST,EA LSN
RADIOLOGICAL EXAMINATION, SURGICAL SPECIMEN||76098|X-RAY EXAM, BREAST SPECIMEN
RADIOLOGIC EXAMINATION, SINGLE PLANE BODY SECTION (EG, TOMOGRAPHY), OTHER THAN WITH UROGRAPHY||76100|X-RAY EXAM OF BODY SECTION
RADIOLOGIC EXAMINATION, COMPLEX MOTION (IE, HYPERCYCLOIDAL) BODY SECTION (EG, MASTOID POLYTOMOGRAPHY), OTHER THAN WITH UROGRAPHY; UNILATERAL||76101|COMPLEX BODY SECTION X-RAY
RADIOLOGIC EXAMINATION, COMPLEX MOTION (IE, HYPERCYCLOIDAL) BODY SECTION (EG, MASTOID POLYTOMOGRAPHY), OTHER THAN WITH UROGRAPHY; BILATERAL||76102|COMPLEX BODY SECTION X-RAYS
CINERADIOGRAPHY/VIDEORADIOGRAPHY, EXCEPT WHERE SPECIFICALLY INCLUDED||76120|CINE/VIDEO X-RAYS
CINERADIOGRAPHY/VIDEORADIOGRAPHY TO COMPLEMENT ROUTINE EXAMINATION (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)||76125|CINE/ VIDEO X-RAYS ADD-ON
CONSULTATION ON X-RAY EXAMINATION MADE ELSEWHERE, WRITTEN REPORT||76140|X-RAY CONSULTATION
XERORADIOGRAPHY||76150|X-RAY EXAM, DRY PROCESS
SUBTRACTION IN CONJUNCTION WITH CONTRAST STUDIES||76350|SPECIAL X-RAY CONTRAST STUDY
COMPUTED TOMOGRAPHY GUIDANCE FOR STEREOTACTIC LOCALIZATION||76355|CT GUIDANCE STEROTCT LOCAL
COMPUTED TOMOGRAPHY GUIDANCE FOR NEEDLE PLACEMENT (EG, BIOPSY, ASPIRATION, INJECTION, LOCALIZATION DEVICE), RADIOLOGICAL SUPERVISION AND INTERP|RET|76360|CT GUID NEDLE PLACEMENT
COMPUTERIZED AXIAL TOMOGRAPHIC GUIDANCE FOR, AND MONITORING OF, TISSUE ABLATION||76362|CAT SCAN FOR TISSUE ABLATION
COMPUTED TOMOGRAPHY GUIDANCE FOR PLACEMENT OF RADIATION THERAPY FIELDS||76370|CT GUID PLACE RADIO THRPY FELD
CORONAL, SAGITTAL, MULTIPLANAR, OBLIQUE, 3-DIMENSIONAL AND/OR HOLOGRAPHIC RECONSTRUCTION OF COMPUTERIZED AXIAL TOMOGRAPHY, MAGNETIC RESONANCE I|MAG|76375|3D/HOLOGRAPH RECONSTR ADD-ON
COMPUTED TOMOGRAPHY, LIMITED OR LOCALIZED FOLLOW-UP STUDY||76380|CT LMTED LOCAL FOLOW-UP STUDY
MAGNETIC RESONANCE SPECTROSCOPY||76390|MR SPECTROSCOPY
MAGNETIC RESONANCE GUIDANCE FOR NEEDLE PLACEMENT (EG, FOR BIOPSY, NEEDLE ASPIRATION, INJECTION, OR PLACEMENT OF LOCALIZATION DEVICE) RADIOLOGIC|AL|76393|MAG RES,NEED PLACE RAD SUP&INT
MAGNETIC RESONANCE GUIDANCE FOR, AND MONITORING OF, TISSUE ABLATION||76394|MRI FOR TISSUE ABLATION
MAGNETIC RESONANCE (EG, PROTON) IMAGING, BONE MARROW BLOOD SUPPLY||76400|MAGNETIC IMAGE, BONE MARROW
ULTRASOUND GUIDANCE FOR, AND MONITORING OF, TISSUE ABLATION||76490|US FOR TISSUE ABLATION
UNLISTED FLUOROSCOPIC PROCEDURE (EG, DIAGNOSTIC, INTERVENTIONAL)||76496|UNLIST FLUOROSCOPIC PROCEDUR
UNLISTED COMPUTED TOMOGRAPHY PROCEDURE (EG, DIAGNOSTIC, INTERVENTIONAL)||76497|UNLIST COMP TOMOGRAPHY PROC
UNLISTED MAGNETIC RESONANCE PROCEDURE (EG, DIAGNOSTIC, INTERVENTIONAL)||76498|UNLIST MAGNET RESONACE PROC
UNLISTED DIAGNOSTIC RADIOGRAPHIC PROCEDURE||76499|ULISTED DIAG RADIOGRAPH PROC
ECHOENCEPHALOGRAPHY, B-SCAN AND/OR REAL TIME W IMAGE DOC (GRAY SCALE) (FOR VENTRICULAR SIZE, DELINEATION OF CEREBRAL CONTENTS & DETECTION OF FL|UID|76506|ECHO EXAM OF HEAD
OPHTHALMIC ULTRASOUND, ECHOGRAPHY, DIAGNOSTIC; A-SCAN ONLY, WITH AMPLITUDE QUANTIFICATION||76511|ECHO EXAM OF EYE
OPHTHALMIC ULTRASOUND, ECHOGRAPHY, DIAGNOSTIC; CONTACT B-SCAN (WITH OR WITHOUT SIMULTANEOUS A-SCAN)||76512|ECHO EXAM OF EYE
OPHTHALMIC ULTRASOUND, ECHOGRAPHY, DIAGNOSTIC; ANTERIOR SEGMENT ULTRASOUND, IMMERSION (WATER BATH) B-SCAN OR HIGH RESOLUTION BIOMICROSCOPY||76513|ECHO EXAM OF EYE, WATER BATH
OPHTHALMIC BIOMETRY BY ULTRASOUND ECHOGRAPHY, A-SCAN;||76516|ECHO EXAM OF EYE
OPHTHALMIC BIOMETRY BY ULTRASOUND ECHOGRAPHY, A-SCAN; WITH INTRAOCULAR LENS POWER CALCULATION||76519|ECHO EXAM OF EYE
OPHTHALMIC ULTRASONIC FOREIGN BODY LOCALIZATION||76529|ECHO EXAM OF EYE
ULTRASOUND, SOFT TISSUES OF HEAD AND NECK (EG, THYROID, PARATHYROID, PAROTID), B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION||76536|US EXAM OF HEAD AND NECK
